i,latency_ms,action_left,action_right
713,0.048252,11.380375,5.6840043
714,0.05043,-65.794914,-92.88115
715,0.049519,-54.576313,-26.941608
716,0.04857,-14.87041,-36.631306
717,0.049528,-63.523,-42.191406
718,0.050658,-61.420437,-59.49088
719,0.046317,-7.2214727,-28.605616
720,0.04571,-12.233841,-39.687057
721,0.048513,-56.72281,-45.531807
722,0.049415,-47.11522,-76.87943
723,0.050097,-59.964108,-113.05456
724,0.049481,-61.1888,-41.917484
725,0.049242,-56.177696,-101.06658
726,0.046833,-40.67705,-18.48039
727,0.049549,-85.40693,-80.9779
728,0.054095,-61.094048,-74.171616
729,0.046765,-26.631422,0.6295669
730,0.049047,-77.925896,-59.75007
731,0.047023,-55.61348,16.821348
732,0.048288,-67.46466,-75.419556
733,0.048982,-57.743896,-16.814522
734,0.049826,-69.28923,-80.27279
735,0.048598,-73.047325,-80.03372
736,0.046032,-30.36718,-50.59736
737,0.047961,-26.436022,-41.58139
738,0.045649,-24.56127,-6.861469
739,0.048675,-66.44736,-106.00278
740,0.046762,-23.393223,-3.1932235
741,0.049863,-60.99274,-69.281136
